icd10cm,phecode
T50Z14S,297
Y232,297
Y25,297
Y240XXA,297
Y231XXS,297
Y240,297
Y22XXXS,297
Y282XXS,297
Y230,297
Y233XXD,297
Y32XXXA,297
K011,520.2
K01,520.2
K006,520.2
K010,520.2
M4040,737.2
M4057,737.2
M4047,737.2
M4046,737.2
M404,737.2
M4045,737.2
M964,737.2
M4055,737.2
M405,737.2
M4056,737.2
M4050,737.2
R87624,792
R87614,792
R87820,792
R87821,792
R87811,792
R87810,792
R87628,792
F958,313.2
F985,313.2
F95,313.2
F984,313.2
F951,313.2
F952,313.2
F950,313.2
F959,313.2
I748,444
I7411,444
I74,444
I742,444
I745,444
I749,444
R91,514
R918,514
R5082,783.1
R222,519.9
I060,394.3
I061,394.3
I062,394.3
I517,416
K51211,555.21
K51013,555.21
K51019,555.21
K51011,555.21
K5120,555.21
K51512,555.21
K51219,555.21
K51511,555.21
K5100,555.21
K51519,555.21
K51514,555.21
K5150,555.21
K51012,555.21
K51213,555.21
K510,555.21
K51513,555.21
K51014,555.21
K51018,555.21
K51218,555.21
K51518,555.21
K51212,555.21
K512,555.21
K51214,555.21
N261,580.4
N269,580.4
Z3864,1010.6
Z30019,1010.6
Z39,1010.6
Z362,1010.6
Z373,1010.6
Z3044,1010.6
Z332,1010.6
Z3761,1010.6
Z31438,1010.6
Z3A1,1010.6
Z33,1010.6
Z30017,1010.6
Z3181,1010.6
Z3685,1010.6
Z3A0,1010.6
Z3483,1010.6
Z3681,1010.6
Z318,1010.6
Z3686,1010.6
Z3161,1010.6
Z315,1010.6
Z302,1010.6
Z383,1010.6
Z30014,1010.6
Z333,1010.6
Z30431,1010.6
Z3A23,1010.6
Z3A33,1010.6
Z37,1010.6
Z3493,1010.6
Z3490,1010.6
Z368,1010.6
Z3042,1010.6
Z3141,1010.6
Z3A24,1010.6
Z3049,1010.6
Z3753,1010.6
Z30430,1010.6
Z3201,1010.6
Z364,1010.6
Z3A00,1010.6
Z3492,1010.6
Z3A41,1010.6
Z30433,1010.6
Z3684,1010.6
Z3A31,1010.6
Z3A30,1010.6
Z3A3,1010.6
Z3754,1010.6
Z30015,1010.6
Z3A18,1010.6
Z380,1010.6
Z3A10,1010.6
Z3202,1010.6
Z3A21,1010.6
Z348,1010.6
Z3760,1010.6
Z31448,1010.6
Z388,1010.6
Z3040,1010.6
Z3A42,1010.6
Z3751,1010.6
Z372,1010.6
Z3400,1010.6
Z3002,1010.6
Z3862,1010.6
Z3800,1010.6
Z390,1010.6
Z3A08,1010.6
Z369,1010.6
Z34,1010.6
Z3481,1010.6
Z3A39,1010.6
Z340,1010.6
Z3830,1010.6
Z3A28,1010.6
Z3A17,1010.6
Z3402,1010.6
Z304,1010.6
Z30432,1010.6
Z3687,1010.6
Z3200,1010.6
Z361,1010.6
Z3750,1010.6
Z368A,1010.6
Z3149,1010.6
Z392,1010.6
Z3869,1010.6
Z3045,1010.6
Z3A35,1010.6
Z3682,1010.6
Z365,1010.6
Z3A13,1010.6
Z3A14,1010.6
Z3403,1010.6
Z3A37,1010.6
Z3769,1010.6
Z360,1010.6
Z3866,1010.6
Z370,1010.6
Z3688,1010.6
Z323,1010.6
Z31,1010.6
Z30011,1010.6
Z3480,1010.6
Z3865,1010.6
Z3A38,1010.6
Z3868,1010.6
Z3A40,1010.6
Z31430,1010.6
Z381,1010.6
Z377,1010.6
Z3A36,1010.6
Z3A16,1010.6
Z316,1010.6
Z3A25,1010.6
Z319,1010.6
Z3A19,1010.6
Z349,1010.6
Z386,1010.6
Z3752,1010.6
Z3043,1010.6
Z3491,1010.6
Z3863,1010.6
Z3A34,1010.6
Z31441,1010.6
Z31440,1010.6
Z3683,1010.6
Z3162,1010.6
Z379,1010.6
Z3A,1010.6
Z3046,1010.6
Z322,1010.6
Z30016,1010.6
Z3142,1010.6
Z3A12,1010.6
Z374,1010.6
Z32,1010.6
Z376,1010.6
Z3A2,1010.6
Z320,1010.6
Z3A29,1010.6
Z387,1010.6
Z30013,1010.6
Z30012,1010.6
Z300,1010.6
Z3801,1010.6
Z3482,1010.6
Z3A32,1010.6
Z384,1010.6
Z3183,1010.6
Z363,1010.6
Z3A26,1010.6
Z36,1010.6
Z3763,1010.6
Z3861,1010.6
Z3144,1010.6
Z3A27,1010.6
Z3182,1010.6
Z385,1010.6
Z391,1010.6
Z3A11,1010.6
Z3759,1010.6
Z375,1010.6
Z3A49,1010.6
Z317,1010.6
Z3A01,1010.6
Z30,1010.6
Z3401,1010.6
Z3169,1010.6
Z3A15,1010.6
Z308,1010.6
Z3A09,1010.6
Z382,1010.6
Z3A22,1010.6
Z3764,1010.6
Z3A20,1010.6
Z3041,1010.6
Z309,1010.6
Z3001,1010.6
Z3184,1010.6
Z30018,1010.6
Z3831,1010.6
Z3689,1010.6
Z371,1010.6
Z310,1010.6
Z3143,1010.6
Z3762,1010.6
Z38,1010.6
Z3009,1010.6
Z331,1010.6
Z3A4,1010.6
Z314,1010.6
Z3189,1010.6
E440,260
E46,260
E441,260
R636,260
E640,260
E44,260
I7777,442.4
I777,442.4
I7773,442.4
I7776,442.4
I7775,442.4
I7774,442.4
I7770,442.4
I7779,442.4
I670,442.4
I7771,442.4
I7772,442.4
K266,531.1
K286,531.1
K260,531.1
K262,531.1
K274,531.1
K256,531.1
K264,531.1
K284,531.1
K282,531.1
K270,531.1
K272,531.1
K276,531.1
K252,531.1
K254,531.1
K250,531.1
K280,531.1
H839,386
H8390,386
H8392,386
H8391,386
H8190,386
H8192,386
H8193,386
H8191,386
H819,386
H8393,386
K2980,535.6
K2981,535.6
K298,535.6
K6811,080
T814,080
N980,080
T814XXS,080
J9502,080
T814XXD,080
K9432,080
K9422,080
T814XXA,080
C185,153.2
C7A022,153.2
C187,153.2
C183,153.2
C7A025,153.2
C189,153.2
Z85038,153.2
Z85030,153.2
C7A023,153.2
Z8503,153.2
C7A024,153.2
D010,153.2
C182,153.2
C188,153.2
C7A020,153.2
C181,153.2
C7A021,153.2
C184,153.2
C260,153.2
C7A029,153.2
C180,153.2
C186,153.2
C18,153.2
J910,198
C7910,198
C7B09,198
C7989,198
C790,198
C7961,198
C7901,198
C7971,198
C7970,198
C799,198
C7902,198
R180,198
C7962,198
C791,198
C796,198
C78,198
C7919,198
C797,198
C7911,198
C7B8,198
C7982,198
C7972,198
C798,198
C7981,198
C7960,198
C7900,198
E278,255
E279,255
K90,557
E73,557
K904,557
K902,557
K9089,557
K9049,557
K909,557
A598,131
A599,131
A590,131
B5889,131
A5900,131
A5903,131
A5901,131
A59,131
A5902,131
B5882,131
B5883,131
B5800,131
B58,131
A5909,131
B580,131
B589,131
B581,131
I791,443.7
I798,443.7
T86810,510.2
Z943,510.2
T8639,510.2
T863,510.2
T8681,510.2
T86811,510.2
T8630,510.2
T86818,510.2
Z942,510.2
T8631,510.2
T86812,510.2
T8632,510.2
T86819,510.2
T8633,510.2
M26639,526.4
M2663,526.4
M266,526.4
M26633,526.4
M26632,526.4
M26631,526.4
M7989,771.1
I426,425.8
I5181,425.8
K8031,575.1
K8036,575.1
K8030,575.1
K8035,575.1
K8037,575.1
K830,575.1
K8034,575.1
K8033,575.1
K8032,575.1
O76,655.1
R262,741.3
M12522,836
M12559,836
M12511,836
M12571,836
M12569,836
M1253,836
M12532,836
M12541,836
M12519,836
M12542,836
M1259,836
M12579,836
M1250,836
M12549,836
M12572,836
M1254,836
M12552,836
M12521,836
M1255,836
M12529,836
M1257,836
M1258,836
M12512,836
M12531,836
M125,836
M1252,836
M1251,836
M1256,836
M12561,836
M12562,836
M12551,836
M12539,836
R8271,598.9
R829,598.9
R8290,598.9
R826,598.9
R827,598.9
R8279,598.9
R8291,598.9
R825,598.9
R8299,598.9
R828,598.9
G214,332
G20,332
R251,350.1
R290,350.1
R253,350.1
R250,350.1
R259,350.1
R258,350.1
R252,350.1
R25,350.1
S76821A,1009
S0991XS,1009
S59812D,1009
S76991A,1009
S66506S,1009
S46209,1009
S66325,1009
S99822A,1009
S4632,1009
S66021A,1009
S56103S,1009
S29092A,1009
S66504,1009
S56902A,1009
S56495S,1009
S09312D,1009
S46299A,1009
S090XXA,1009
S86191A,1009
S56405D,1009
S76102D,1009
S66326A,1009
S66929D,1009
S46109A,1009
S562,1009
S66394D,1009
S99921S,1009
S56494,1009
S56193D,1009
S56509,1009
S59909S,1009
S4992XA,1009
S66523D,1009
S96209A,1009
S56999,1009
S56892D,1009
S09399D,1009
S56991D,1009
S76121,1009
S76309,1009
V970XXA,1009
S46199,1009
S66398A,1009
S56499A,1009
S092,1009
