ICD9,PheCode
0167,010
01670,010
01671,010
01672,010
01673,010
01674,010
01675,010
01676,010
0169,010
01690,010
01691,010
01692,010
01693,010
01694,010
01695,010
01696,010
017,010
0170,010
01700,010
01701,010
01702,010
01703,010
01704,010
01705,010
01706,010
0171,010
01710,010
01711,010
01712,010
01713,010
01714,010
01715,010
01716,010
0172,010
01720,010
01721,010
01722,010
01723,010
01724,010
01725,010
01726,010
0173,010
01730,010
01731,010
01732,010
01733,010
01734,010
01735,010
01736,010
0174,010
01740,010
01741,010
01742,010
01743,010
01744,010
01745,010
01746,010
0175,010
01750,010
01751,010
01752,010
01753,010
01754,010
01755,010
01756,010
0176,010
01760,010
01761,010
01762,010
01763,010
01764,010
01765,010
01766,010
0177,010
01770,010
01771,010
01772,010
01773,010
01774,010
01775,010
01776,010
0178,010
01780,010
01781,010
01782,010
01783,010
01784,010
01785,010
01786,010
0179,010
01790,010
01791,010
01792,010
01793,010
01794,010
01795,010
01796,010
018,010
0180,010
01800,010
01801,010
01802,010
01803,010
01804,010
01805,010
01806,010
0188,010
01880,010
01881,010
01882,010
01883,010
01884,010
01885,010
01886,010
0189,010
01890,010
01891,010
01892,010
01893,010
01894,010
01895,010
01896,010
020,041
0200,041
0201,686
0202,038.1
0203,480.1
0204,480.1
0205,480.1
0208,041
0209,041
021,041
0210,686
0211,008
0212,480.1
0213,369
0218,041
0219,041
022,041
0220,686
0221,480.1
0222,008
0223,038.2
0228,041
0229,041
023,041
0230,041
0231,041
0232,041
0233,041
0238,041
0239,041
024,041
025,041
026,041
0260,041
0261,711
0269,041
027,041
0270,041
0271,041
0272,041
0278,041
0279,041
030,031.1
0300,031.1
0301,031.1
0302,031.1
0303,031.1
0308,031.1
0309,031.1
031,031
0310,480.1
0311,686
0312,031
0318,031
0319,031
032,041
0320,465
0321,465
0322,465
0323,465
0328,041
03281,369
03282,420.1
03283,567
03284,592.1
03285,686
03289,041
0329,041
033,041
0330,041
0331,041
0338,041
0339,041
034,041.2
0340,465
0341,041.2
035,686
036,041
0360,320
0361,323
0362,038.1
0363,041
0364,420
03640,420
03641,420.2
03642,420.3
03643,420.1
0368,041
03681,041
03682,711
03689,041
0369,041
037,041
038,038
0380,038.1
0381,038.2
03810,038.2
03811,038.2
03812,038.2
03819,038.2
0382,038.2
0383,038
0384,038.1
03840,038.1
03841,038.1
03842,038.1
03843,038.1
03844,038.1
03849,038.1
0388,038
0389,038
039,041
0390,686
0391,480.1
0392,041
0393,041
0394,041
0398,041
0399,041
040,041
0400,041
0401,041
0402,041
0403,041
0404,041
04041,657
04042,041
0408,041
04081,041
04082,041
04089,041
041,041
0410,041.2
04100,041.2
04101,041.2
04102,041.2
04103,041.2
04104,041.2
04105,041.2
04109,041.2
0411,041.1
04110,041.1
04111,041.11
04112,041.12
04119,041.1
0412,041
0413,041
0414,041.4
04141,041.4
04142,041.4
04143,041.4
04149,041.4
0415,041
0416,041
0417,041
0418,041
04181,041
04182,041
04183,041
04184,041
04185,041
04186,041.8
04189,041
0419,041
042,071.1
0420,071.1
0421,071.1
0422,071.1
0429,071.1
043,071
0430,071
0431,071
0432,071
0433,071
0439,071
044,071
0440,071
0449,071
045,324
0450,324
04500,324
04501,324
04502,324
04503,324
0451,324
04510,324
04511,324
04512,324
04513,324
0452,324
04520,324
04521,324
04522,324
04523,324
0459,324
04590,324
04591,324
04592,324
04593,324
046,324
0460,324
0461,324.1
04611,324.1
04619,324.1
0462,323
0463,324
0467,324
04671,324
04672,324
04679,324
0468,324
0469,324
047,320
0470,320
0471,320
0478,320
0479,320
048,324
0480,324
049,324
0490,320
0491,320
0498,323
0499,323
050,079
0500,079
0501,079
0502,079
0509,079
051,079
0510,079
05101,079
05102,079
0511,079
0512,079
0519,079
